main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90,rating
Left Center Midfield,6941,Jasmin Kurtič,Atalanta,228,2811,9.526462395543174,5.572755417956656,16.020671834625325,49.37849596022373,6.666666666666665,28.353759523020877,8.0,0.0,89.11501120238985,28.12615955473097,2.7972027972027917,24.166929788787698
Right Center Midfield,6947,Miralem Pjanić,AS Roma,229,2802,67.46518105849582,66.25386996904022,17.829457364341085,68.30329397141082,11.111111111111109,26.664458429943693,42.66666666666667,77.77777777777777,66.22479462285287,59.51762523191094,25.0,52.93726005165808
Right Center Midfield,6952,Alberto Grassi,Atalanta,228,1220,3.45403899721448,10.216718266253867,7.751937984496124,58.29707893101306,9.333333333333334,14.773103676714147,0.0,0.0,19.212098581030617,0.0,31.818181818181813,12.517055934158552
Left Center Midfield,6962,Radja Nainggolan,AS Roma,229,3088,39.94428969359331,29.721362229102162,14.21188630490956,79.5835922933499,28.888888888888896,18.052335210334547,22.666666666666668,4.444444444444445,65.34727408513817,65.64007421150276,62.06293706293706,40.08806122374556
Right Center Midfield,6963,Lorenzo Pellegrini,Sassuolo,232,1216,36.9359331476323,21.67182662538699,26.873385012919897,55.2827843380982,19.11111111111111,37.032129844319314,29.333333333333332,0.0,60.00746825989545,28.589981447124295,39.68531468531468,33.64218170840067
Left Center Midfield,7009,Édgar Osvaldo Barreto Cáceres,Sampdoria,234,2427,15.988857938718656,6.811145510835911,0.0,74.20758234928525,60.44444444444444,41.470685657502486,0.0,6.666666666666667,28.005974607916357,67.3469387755102,8.741258741258742,31.530060693397427
Right Center Midfield,7013,Stefano Sturaro,Juventus,224,1026,12.479108635097488,24.458204334365323,9.819121447028424,51.98881292728403,46.22222222222223,39.913878767803915,10.666666666666668,0.0,28.005974607916357,51.280148423005556,35.83916083916084,28.58515703598979
Left Center Midfield,7025,Marek Hamšík,Napoli,227,3538,74.37325905292478,64.39628482972135,13.953488372093027,83.53014294592911,11.555555555555554,2.119907254057637,20.0,60.0,60.58625840179238,42.33766233766234,28.14685314685314,48.13481448240448
Right Center Midfield,7035,Allan Marques Loureiro,Napoli,227,2979,23.175487465181057,29.10216718266253,34.62532299741602,83.25046612802983,79.11111111111111,46.70420669095728,12.0,33.33333333333333,49.626587005227776,82.07792207792207,43.35664335664335,46.647830508731296
Left Center Midfield,7046,Perparim Hetemaj,Chievo,231,2428,26.12813370473537,13.622291021671822,21.188630490956072,54.75450590428837,52.444444444444436,47.830407419675396,4.0,0.0,54.46228528752801,57.95918367346938,63.8111888111888,35.032927316144416
Right Center Midfield,7049,Lucas Nahuel Castro,Chievo,231,2990,21.169916434540383,20.743034055727552,14.987080103359174,45.96022374145433,57.333333333333336,39.11891354753231,12.0,6.666666666666667,39.48842419716206,60.61224489795918,48.776223776223766,33.06086385411943
Right Center Midfield,7107,Danilo Cataldi,Lazio,236,1496,44.9025069637883,34.67492260061918,2.5839793281653742,66.59415786202612,30.666666666666664,19.34415369327592,8.0,40.0,28.005974607916357,81.72541743970314,44.58041958041958,38.67770271120215
Right Center Midfield,7113,Simone Missiroli,Sassuolo,232,2060,31.309192200557096,13.312693498452008,10.852713178294577,51.80236171535114,41.77777777777777,30.341172573699904,10.666666666666668,0.0,43.22255414488424,56.08534322820036,38.636363636363626,31.591481730323995
Right Center Midfield,7149,Marco Benassi,Torino,241,1971,5.403899721448465,22.910216718266252,13.953488372093027,42.20012430080794,20.444444444444446,26.49884067572044,17.333333333333336,20.0,57.057505601194926,52.152133580705005,30.41958041958041,26.7775363129649
Right Center Midfield,7461,Luca Rigoni,Genoa,233,2045,12.367688022284119,20.433436532507738,6.459948320413438,64.32566811684276,19.11111111111111,29.97681351440875,22.666666666666668,0.0,65.34727408513817,43.78478664192949,28.496503496503482,29.305279933983993
Left Center Midfield,7465,Daniele Baselli,Torino,241,2352,5.348189415041782,53.25077399380804,37.726098191214476,50.15537600994405,36.00000000000001,41.7356740642597,20.0,15.555555555555555,56.49738610903658,53.54359925788496,48.07692307692306,35.683270863685394
Right Center Midfield,7474,Afriyie Acquah,Torino,241,2059,24.735376044568238,25.69659442724458,27.906976744186053,44.06463642013674,7.11111111111111,11.262007287181188,10.666666666666668,28.888888888888893,51.96041822255414,35.71428571428571,58.56643356643356,26.810188669499855
Left Center Midfield,7698,Joseph Alfred Duncan,Sassuolo,232,2524,57.7158774373259,47.05882352941176,31.266149870801037,41.95152268489744,49.33333333333334,39.25140775091091,4.0,37.77777777777778,54.686333084391336,66.17810760667902,56.46853146853146,46.31779525709179
Left Center Midfield,8173,Marco Parolo,Lazio,236,2816,24.735376044568238,22.600619195046438,4.3927648578811365,62.77190801740211,22.22222222222222,38.62206028486254,12.0,0.0,77.80059746079164,24.526901669758807,16.258741258741253,31.48615981669224
Left Center Midfield,8187,Marcel Büchel,Empoli,290,1695,18.4958217270195,24.767801857585138,20.930232558139537,69.35985083903046,22.22222222222222,28.784365684001333,13.333333333333334,11.111111111111112,69.21209858103062,41.55844155844155,31.993006993006983,32.510904649537196
Right Center Midfield,8280,Godfred Donsah,Bologna,240,1691,12.089136490250695,3.4055727554179556,22.48062015503876,33.06401491609695,10.666666666666663,9.373964889036106,13.333333333333334,11.111111111111112,57.654966392830474,35.47309833024118,22.9020979020979,20.146381575272017
Left Center Midfield,8420,Luca Cigarini,Atalanta,228,1966,62.841225626740936,37.151702786377705,11.627906976744185,60.72094468614046,56.888888888888886,24.246439218284202,12.0,20.0,74.68259895444362,76.69758812615956,51.57342657342656,49.01724930987428
Left Center Midfield,8851,Saphir Sliti Taïder,Bologna,240,2343,14.484679665738156,14.241486068111453,5.167958656330749,77.06650093225603,32.88888888888889,34.017886717456115,0.0,6.666666666666667,37.34129947722181,54.656771799628935,41.78321678321678,28.865987739356616
Right Center Midfield,10030,Davide Biondini,Sassuolo,232,1122,32.42339832869081,9.287925696594428,8.785529715762273,36.94841516469857,15.555555555555555,38.55581318317324,0.0,0.0,55.17176997759521,55.269016697588114,30.24475524475524,28.235003921461647
