main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Center Defensive Midfield,7166,Riccardo Montolivo,AC Milan,243,2907,57.76699029126215,95.37671232876713,33.137697516930025,21.311475409836067,62.596599690880986,29.600000000000005,5.681818181818178,0.0,6.976744186046512,64.63463867581753,55.2412261055448
Right Defensive Midfield,7460,Isaac Cofie,Carpi,1683,2439,34.46601941747572,49.65753424657535,69.75169300225734,15.573770491803279,26.996393611540437,52.79999999999999,41.66666666666666,0.0,6.976744186046512,70.18570851836901,45.03641764111296
Right Defensive Midfield,7475,Tomás Eduardo Rincón Hernández,Genoa,233,3085,26.699029126213585,61.986301369863014,38.735891647855524,42.622950819672134,29.160226687274605,28.800000000000004,63.63636363636363,38.0952380952381,39.53488372093024,54.01695599515543,41.39545546323692
Right Defensive Midfield,7770,Federico Viviani,Hellas Verona,226,1595,57.28155339805826,68.32191780821918,53.72460496613996,99.18032786885246,74.18856259659968,55.199999999999996,55.681818181818166,76.1904761904762,76.74418604651163,50.827614049253135,64.280390668177
Right Defensive Midfield,7949,Artur Ioniţă,Hellas Verona,226,2528,31.06796116504854,24.828767123287676,93.22799097065463,27.86885245901639,0.0,64.4,70.45454545454545,66.66666666666667,16.27906976744186,64.57408155026242,44.10504570654695
Center Defensive Midfield,8284,Amadou Diawara,Bologna,240,2906,45.63106796116505,55.65068493150685,51.64785553047403,25.409836065573778,29.263266357547657,24.4,43.18181818181818,0.0,6.976744186046512,38.13080339119903,40.28327518238838
Center Defensive Midfield,8294,Claudio Marchisio,Juventus,224,2143,42.23300970873786,52.73972602739726,22.48306997742663,35.24590163934427,47.346728490468834,30.000000000000004,34.090909090909086,0.0,18.6046511627907,54.19862737182075,40.22993745402206
Right Defensive Midfield,9903,Yussif Raman Chibsah,Frosinone,291,1307,11.650485436893202,61.81506849315069,51.87358916478555,39.75409836065574,14.013395157135497,23.2,35.98484848484848,0.0,30.232558139534888,44.913201453371016,37.28045196175575
Center Defensive Midfield,16308,Leandro Daniel Paredes,Empoli,290,2720,23.78640776699029,57.36301369863013,36.072234762979676,54.0983606557377,55.486862442040184,26.400000000000002,48.86363636363637,28.57142857142857,6.976744186046512,17.05692369802179,39.7410034091911
Right Defensive Midfield,16453,Gary Alexis Medel Soto,Inter Milan,238,2631,19.90291262135922,41.60958904109589,37.697516930022566,15.573770491803279,31.993817619783616,24.0,10.984848484848483,14.285714285714285,6.976744186046512,42.10738796931772,33.4945231390602
