main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Center Forward,9554,Steven Fletcher,Sunderland,41,1032,12.5,68.85245901639344,30.630630630630627,57.82323797346971,29.646017699115045,66.27692307692308,42.06896551724138,0.0,44.44444444444445,32.5242718446602,35.953289916909945,75.0,20.095693779904302,21.44194756554307,36.06325896639368,26.108374384236456,28.751689950428123,36.728117302374926
Center Forward,10955,Harry Kane,Tottenham Hotspur,38,3564,52.27272727272727,57.377049180327866,56.75675675675676,50.5354003516062,35.840707964601776,71.79076923076923,48.62068965517241,4.878048780487805,27.77777777777778,37.864077669902926,50.842128901863916,50.0,23.684210526315784,42.69662921348315,60.88675515391133,66.7487684729064,28.391167192429023,46.399305062329546
Left Center Forward,10960,Jamie Vardy,Leicester City,22,3394,57.95454545454546,50.81967213114753,56.75675675675676,46.52389323957168,38.93805309734514,63.16307692307692,35.51724137931035,31.70731707317073,100.0,36.407766990291265,80.21558499887715,60.0,8.373205741626792,33.98876404494383,35.07483761649253,29.064039408866993,31.455610635421362,42.082950196264086
Center Forward,11062,Graziano Pellè,Southampton,25,2167,27.27272727272727,65.57377049180327,40.54054054054054,21.863512865590536,49.55752212389382,59.42153846153846,20.0,58.536585365853654,22.222222222222225,42.23300970873788,15.989220750056152,66.67,20.574162679425832,10.205992509363295,41.598418525840174,31.527093596059114,21.000450653447498,40.672222548720065
Center Forward,19362,Rudy Gestede,Aston Villa,59,1321,30.681818181818176,40.983606557377044,30.630630630630627,19.40226945820681,26.991150442477885,80.0,30.344827586206897,14.634146341463413,33.33333333333333,26.213592233009713,28.138333707612844,78.79,9.569377990430619,7.958801498127342,24.230443377576954,27.58620689655173,30.86976115367282,28.566312058730563
Center Forward,20521,Bafétimbi Gomis,Swansea City,26,1694,36.36363636363637,29.508196721311474,27.927927927927925,21.112354163337063,23.893805309734518,83.80307692307693,58.620689655172406,0.0,27.77777777777778,26.213592233009713,22.950819672131146,72.73,19.856459330143533,26.12359550561798,83.08387461169163,35.22167487684729,22.082018927444796,31.28607729676052
Center Forward,20641,Connor Wickham,Crystal Palace,31,1413,24.999999999999996,45.90163934426229,27.927927927927925,7.527569122582708,27.43362831858407,87.17538461538462,37.24137931034483,46.34146341463415,0.0,20.873786407766996,25.757916011677516,54.55,21.77033492822966,15.074906367041196,44.25303586557471,27.093596059113306,46.5975664713835,31.55211858379062
Center Forward,23663,Dieumerci Mbokani Bezua,Norwich City,56,1411,34.090909090909086,54.0983606557377,39.63963963963963,58.55841457567524,53.09734513274337,78.88000000000001,54.82758620689656,14.634146341463413,0.0,54.85436893203885,57.39950595104424,50.0,64.59330143540669,30.61797752808989,55.91640779440835,77.58620689655173,17.93600721045516,44.64152894048028
Center Forward,28559,Enner Remberto Valencia Lastra,West Ham United,40,946,29.545454545454547,49.18032786885246,34.234234234234236,27.425283682275847,28.761061946902654,54.69538461538461,52.41379310344828,46.34146341463415,0.0,22.330097087378643,59.95957781271054,40.0,34.44976076555023,69.85018726591761,68.90708839310932,84.72906403940887,60.83821541234789,43.892294448736926
Center Forward,30289,Papiss Demba Cissé,Newcastle United,37,1319,18.18181818181818,36.0655737704918,18.01801801801802,26.434393479303182,21.238938053097346,89.51384615384616,37.58620689655173,0.0,0.0,23.300970873786415,2.2007635302043576,22.22,3.1100478468899517,9.925093632958802,63.45665066365434,34.48275862068966,31.590806669671018,23.924490607107074
Center Forward,42699,Gabriel Imuetinyan Agbonlahor,Aston Villa,59,1224,2.272727272727273,37.704918032786885,6.306306306306306,64.48777369346332,33.1858407079646,56.8,15.172413793103448,34.146341463414636,0.0,29.126213592233018,70.24477880080845,66.67,16.746411483253585,21.16104868913858,52.16040666478396,17.48768472906404,32.85263632266787,27.702154912623016
Left Center Forward,3434,Stevan Jovetić,Inter Milan,238,1685,37.49999999999999,27.86885245901639,28.82882882882883,44.79782643439348,66.3716814159292,59.61846153846153,56.896551724137936,24.39024390243903,0.0,67.9611650485437,59.17359083763755,50.0,60.76555023923444,76.87265917602997,60.88675515391133,78.8177339901478,35.37629562866156,42.34734355753661
Left Center Forward,3477,Álvaro Borja Morata Martín,Juventus,224,1495,37.49999999999999,44.26229508196721,37.83783783783783,48.64951254594853,60.17699115044248,49.66153846153846,47.58620689655172,87.8048780487805,66.66666666666666,48.54368932038836,59.30833146193578,50.0,73.20574162679424,63.20224719101124,70.96865292290313,56.896551724137936,66.38125281658405,50.35848394648543
