main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
Right Wing,7776,Antonio Candreva,Lazio,236,2634,17.407407407407405,36.34370015948962,48.60335195530726,29.15360501567399,38.474025974025984,16.70770313049595,33.49168646080761,17.24137931034483,46.73109721432632,36.17021276595745,22.72727272727273,56.720160481444324,29.799426934097422
Right Wing,8172,Felipe Anderson Pereira Gomes,Lazio,236,1970,49.07407407407407,42.02551834130781,37.988826815642454,26.959247648902824,78.0844155844156,70.06683081252199,50.35629453681709,31.03448275862069,74.18988061398522,32.97872340425532,43.939393939393945,69.10732196589767,29.799426934097422
Right Wing,8184,Marco D''Alessandro,Atalanta,228,1026,42.96296296296296,53.42902711323762,100.0,32.288401253918494,50.97402597402597,52.58529722124516,56.29453681710213,29.31034482758621,60.54576463899942,27.659574468085108,42.42424242424242,64.01705115346036,34.67048710601719
Left Wing,8552,Robin Quaison,Palermo,2256,1310,32.77777777777778,79.70494417862838,39.10614525139665,39.18495297805642,34.41558441558442,100.0,28.741092636579573,22.413793103448278,36.89596361569073,6.382978723404255,27.272727272727277,40.7221664994985,39.828080229226366
Left Wing,8793,Oliver Kragl,Frosinone,291,1114,7.777777777777778,28.05023923444976,28.49162011173184,21.630094043887148,27.435064935064936,53.957087583538524,33.729216152019006,0.0,10.233086981239339,8.510638297872342,28.787878787878785,49.57372116349046,19.77077363896848
Right Wing,9898,Aleksandar Tonev,Frosinone,291,1032,16.851851851851848,71.71052631578947,50.27932960893854,21.31661442006269,41.88311688311689,45.7263454097784,6.175771971496436,13.793103448275865,28.823194997157476,0.0,16.666666666666668,45.185556670010016,21.77650429799427
Right Midfield,11339,Paweł Wszołek,Hellas Verona,226,2154,29.074074074074076,86.54306220095694,59.77653631284916,31.974921630094045,47.72727272727273,36.54590221596905,19.47743467933492,34.48275862068966,37.35076748152359,0.0,21.21212121212121,75.1755265797392,35.24355300859598
Left Midfield,11494,Luca Siligardi,Hellas Verona,226,1597,21.85185185185185,44.15869218500797,44.1340782122905,41.692789968652036,46.5909090909091,59.09250791417517,8.313539192399052,0.0,35.41785105173394,11.702127659574469,27.272727272727277,62.236710130391174,38.108882521489974
Left Midfield,11502,Antonio Di Gaudio,Carpi,1683,1504,32.407407407407405,54.42583732057415,16.75977653631285,12.539184952978054,36.688311688311686,49.841716496658464,62.23277909738717,29.31034482758621,41.44400227401933,18.085106382978726,27.272727272727277,76.8555667001003,16.6189111747851
Left Midfield,11608,Danilo Soddimo,Frosinone,291,1872,37.59259259259259,40.17145135566187,31.84357541899441,49.529780564263326,100.0,55.11783327470982,45.605700712589076,15.517241379310345,34.45139283683911,4.255319148936171,25.757575757575758,30.341023069207623,48.137535816618914
Right Wing,11729,Luca Rizzo,Bologna,240,1593,15.74074074074074,34.389952153110045,22.346368715083802,15.047021943573668,43.993506493506494,61.062258177981,21.852731591448933,18.965517241379313,34.90619670267197,0.0,18.181818181818183,63.56569709127382,17.191977077363898
