main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating
Goalkeeper,12491,Federico Marchetti,Lazio,236,2717,40.9556313993174,40.402414486921565,53.19148936170214,40.932642487046635,40.0,24.861878453038678,70.55971793741736,46.24123392277987
Goalkeeper,32037,Nicola Leali,Frosinone,291,3089,75.0853242320819,41.36820925553321,21.276595744680858,41.450777202072544,20.0,45.1657458563536,38.342882327016305,34.429388168511586
Goalkeeper,34881,Daniele Padelli,Torino,241,3287,36.86006825938566,29.979879275653943,36.17021276595745,34.19689119170985,0.0,52.20994475138123,76.35522256500661,35.93008918788149
Goalkeeper,38312,Eugenio Lamanna,Genoa,233,1213,52.55972696245733,48.853118712273655,45.74468085106383,60.10362694300518,0.0,24.171270718232048,62.7148523578669,45.05310850444098
Goalkeeper,3630,Loris Karius,FSV Mainz 05,177,3145,67.91808873720136,66.59959758551308,73.40425531914894,69.94818652849742,40.0,54.97237569060774,43.87395328338476,66.5033043929088
Goalkeeper,4600,Diego Orlando Benaglio,Wolfsburg,179,1937,47.44027303754266,10.865191146881301,0.0,45.07772020725389,0.0,22.928176795580114,92.22124283825474,15.985822681661311
Goalkeeper,5550,Yann Sommer,Borussia Mönchengladbach,185,2951,54.60750853242321,39.678068410462785,53.19148936170214,40.41450777202073,0.0,28.453038674033156,69.52401939180255,45.26273017431501
Goalkeeper,5570,Manuel Neuer,Bayern Munich,169,3113,12.969283276450508,90.54325955734409,100.0,37.8238341968912,0.0,29.972375690607745,97.95063904803877,76.09075882903417
Goalkeeper,8225,Roman Bürki,Borussia Dortmund,180,3039,24.573378839590436,42.05231388329982,74.468085106383,28.497409326424876,0.0,32.044198895027634,82.92199206698987,52.691738273965434
Goalkeeper,8240,Koen Casteels,Wolfsburg,179,1204,53.242320819112635,88.89336016096583,93.61702127659575,33.160621761658035,100.0,8.149171270718233,74.834728955487,77.84371906943066
Goalkeeper,8306,Christian Mathenia,Darmstadt 98,872,3062,55.972696245733786,42.253521126760575,45.74468085106383,61.65803108808291,25.0,66.9889502762431,7.161745262230057,45.45943272725826
Goalkeeper,8314,Marwin Hitz,Augsburg,172,3059,79.18088737201364,59.35613682092556,61.702127659574465,41.96891191709845,16.67,47.50000000000001,60.158660202732484,57.55260641737057
Goalkeeper,8393,Oliver Baumann,Hoffenheim,175,3070,100.0,71.46881287726362,56.382978723404264,44.55958549222799,0.0,49.30939226519338,57.029528426619656,59.2216189299003
Goalkeeper,8517,Ralf Fährmann,Schalke 04,181,3142,62.11604095563139,51.30784708249499,41.48936170212767,36.26943005181348,33.33,53.1767955801105,65.16086381665932,46.75165367892762
Goalkeeper,8560,René Adler,Hamburger SV,171,2229,65.52901023890784,59.597585513078485,53.19148936170214,51.295336787564786,0.0,36.60220994475139,31.952401939180252,50.610391226793844
Goalkeeper,8577,Rune Almenning Jarstein,Hertha Berlin,173,2588,55.972696245733786,54.56740442655937,59.57446808510638,34.19689119170985,0.0,34.39226519337017,53.98854120758044,51.00256605050011
Goalkeeper,8667,Lukáš Hrádecký,Eintracht Frankfurt,184,3143,72.0136518771331,50.06036217303823,52.12765957446809,100.0,25.0,100.0,52.688408990744826,58.95479020273072
Goalkeeper,8821,Timo Horn,FC Köln,186,3060,70.30716723549489,67.84708249496984,59.57446808510638,16.06217616580311,25.0,24.447513812154703,48.03878360511237,54.24412303117724
Goalkeeper,8947,Ron-Robert Zieler,Hannover 96,178,3138,93.85665529010237,50.66398390342055,40.425531914893625,64.24870466321244,0.0,60.0828729281768,67.25429704715734,49.57367935815467
Goalkeeper,9082,Przemysław Tytoń,VfB Stuttgart,174,2770,81.2286689419795,40.845070422535244,30.851063829787247,30.051813471502598,25.0,20.580110497237573,47.28955486998678,36.8269919450967
Goalkeeper,12319,Ramazan Özcan,Ingolstadt,189,2593,23.549488054607508,38.43058350100603,63.829787234042556,73.57512953367876,0.0,50.27624309392266,19.41383869546056,48.76106193565829
Goalkeeper,15581,Bernd Leno,Bayer Leverkusen,904,3068,50.853242320819106,59.91951710261571,71.27659574468086,65.80310880829016,16.67,52.624309392265204,62.23005729396209,61.91348487094449
Goalkeeper,23269,Felix Wiedwald,Werder Bremen,176,3154,60.06825938566552,25.110663983903436,21.276595744680858,54.92227979274611,0.0,41.71270718232045,51.36624063464082,29.641274696252175
