player_id,player,ultimo_equipo,ultimo_team_id,competicion
23486,Anthony Modeste,FC Köln,186,Germany - 1. Bundesliga
23499,Jaroslav Drobný,Hamburger SV,171,Germany - 1. Bundesliga
24117,Christoph Janker,Augsburg,172,Germany - 1. Bundesliga
24244,Uffe Manich Bech,Hannover 96,178,Germany - 1. Bundesliga
24324,Gustavo Adrián Ramos Vásquez,Borussia Dortmund,180,Germany - 1. Bundesliga
24428,Vladlen Yurchenko,Bayer Leverkusen,904,Germany - 1. Bundesliga
24740,Ivo Iličević,Hamburger SV,171,Germany - 1. Bundesliga
24914,Edgar Prib,Hannover 96,178,Germany - 1. Bundesliga
25002,Thomas Kessler,FC Köln,186,Germany - 1. Bundesliga
25003,Sascha Riether,Schalke 04,181,Germany - 1. Bundesliga
26359,Santiago García,Werder Bremen,176,Germany - 1. Bundesliga
26677,Álvaro Domínguez Soto,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
26790,Piotr Trochowski,Augsburg,172,Germany - 1. Bundesliga
26791,Emir Spahić,Hamburger SV,171,Germany - 1. Bundesliga
26832,Tarik Elyounoussi,Hoffenheim,175,Germany - 1. Bundesliga
27317,Eduardo Jesús Vargas Rojas,Hoffenheim,175,Germany - 1. Bundesliga
27341,Marcelo Alfonso Díaz Rojas,Hamburger SV,171,Germany - 1. Bundesliga
28571,Oliver Hüsing,Werder Bremen,176,Germany - 1. Bundesliga
28601,Marvin Wanitzek,VfB Stuttgart,174,Germany - 1. Bundesliga
28976,Francisco José Rodriguez Araya,Wolfsburg,179,Germany - 1. Bundesliga
29245,Marvin Schulz,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
30287,Ceyhun Gülselam,Hannover 96,178,Germany - 1. Bundesliga
30312,Uilson de Souza Paula Júnior,Schalke 04,181,Germany - 1. Bundesliga
30439,Tolga Ciğerci,Hertha Berlin,173,Germany - 1. Bundesliga
30551,Gonzalo Alejandro Jara Reyes,FSV Mainz 05,177,Germany - 1. Bundesliga
30847,Jiloan Hamad,Hoffenheim,175,Germany - 1. Bundesliga
31437,Andreas Hirzel,Hamburger SV,171,Germany - 1. Bundesliga
33459,Alexander Baumjohann,Hertha Berlin,173,Germany - 1. Bundesliga
34558,Sereso Geoffroy Gonzaroua Dié,VfB Stuttgart,174,Germany - 1. Bundesliga
35496,Jan Kliment,VfB Stuttgart,174,Germany - 1. Bundesliga
36359,Carlos Augusto Zambrano Ochandarte,Eintracht Frankfurt,184,Germany - 1. Bundesliga
36641,Konstantin Engel,Ingolstadt,189,Germany - 1. Bundesliga
37112,Mitchell James Langerak,VfB Stuttgart,174,Germany - 1. Bundesliga
37972,Jens Grahl,Hoffenheim,175,Germany - 1. Bundesliga
38172,Toni Šunjić,VfB Stuttgart,174,Germany - 1. Bundesliga
38524,Hiroshi Kiyotake,Hannover 96,178,Germany - 1. Bundesliga
40459,Roger de Oliveira Bernardo,Ingolstadt,189,Germany - 1. Bundesliga
40460,Tobias Levels,Ingolstadt,189,Germany - 1. Bundesliga
40462,Halil Altıntop,Augsburg,172,Germany - 1. Bundesliga
40463,Stefan Lex,Ingolstadt,189,Germany - 1. Bundesliga
