player,avg_rating,team,pos,pos_role
Niklas Sule,5.7425,Germany,DF,DC
Nikola Milenkovic,5.985833333333333,Serbia,DF,DC
Nordin Amrabat,5.855,Morocco,MF,"AMR, MR"
Odion Ighalo,5.73875,Nigeria,"FW, Sub","FW, Sub"
Oghenekaro Etebo,6.2625,Nigeria,MF,"DMC, MC"
Ola Toivonen,6.026999999999999,Sweden,FW,FW
Olivier Giroud,5.990384615384615,France,"FW, Sub","FW, Sub"
Omar Hawsawi,5.13,Saudi Arabia,DF,DC
Omid Ebrahimi,5.944545454545454,Iran,MF,"DMC, MC"
Oribe Peralta,5.94,Mexico,Sub,Sub
Osama Hawsawi,5.6816666666666675,Saudi Arabia,DF,DC
Oscar Duarte,5.805,Costa Rica,DF,DC
Oscar Hiljemark,6.025,Sweden,Sub,Sub
Oscar Murillo,6.0425,Colombia,DF,DC
Ousmane Dembele,5.797272727272727,France,"FW, MF, Sub","AMR, FWL, Sub"
Oussama Haddadi,6.355,Tunisia,DF,DL
Paolo Guerrero,6.181111111111111,Peru,"FW, Sub","FW, Sub"
Paolo Hurtado,6.255,Peru,Sub,Sub
Park Joo-Ho,6.343333333333334,South Korea,DF,DL
Paul Pogba,6.23125,France,MF,"DMC, MC"
Paulinho,5.89,Brazil,MF,MC
Paulo Dybala,5.9,Argentina,Sub,Sub
Pedro Aquino,5.97375,Peru,"MF, Sub","DMC, Sub"
Pedro Gallese,5.8475,Peru,GK,GK
Pepe,5.82625,Portugal,DF,DC
Phil Jones,5.8075,England,DF,DC
Philippe Coutinho,6.2105,Brazil,MF,MC
Pione Sisto,6.020714285714285,Denmark,"MF, Sub","AML, ML, Sub"
Piotr Zielinski,5.709166666666667,Poland,"FW, MF","AMC, DMC, FWR"
Pontus Jansson,6.218,Sweden,"DF, Sub","DC, Sub"
