,competition,date,match,team,pos,pos_role,player,match_id,original_rating
4167,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Colombia,Sub,Sub,Jefferson Andrés Lerma Solís,7571,6.025
4171,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Colombia,Sub,Sub,Luis Fernando Muriel Fruto,7571,5.203333333333333
4173,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Colombia,Sub,Sub,Miguel Ángel Borja Hernández,7571,5.98
4174,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,DF,DC,Kalidou Koulibaly,7571,5.98
4177,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,DF,DC,Salif Sané,7571,5.6899999999999995
4180,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,DF,DL,Youssouf Sabaly,7571,5.7375
4183,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,DF,DR,Lamine Gassama,7571,5.505
4184,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,FW,FW,M''Baye Babacar Niang,7571,5.904999999999999
4187,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,FW,FW,Sadio Mané,7571,5.885
4190,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,GK,GK,Khadim N''Diaye,7571,5.5775
4191,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,MF,MC,Cheikhou Kouyaté,7571,5.65
4193,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,MF,MC,Idrissa Gana Gueye,7571,5.7325
4196,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,MF,MR,Ismaïla Sarr,7571,5.2825
4199,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,Sub,Sub,Diafra Sakho,7571,5.94
4200,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,Sub,Sub,Pape Moussa Konaté,7571,6.025
4202,World Cup 2018,2018-06-28,"Senegal - Colombia, 0 - 1",Senegal,Sub,Sub,Moussa Wagué,7571,5.55
4205,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,DF,DC,Faustino Marcos Alberto Rojo,7580,5.2325
4208,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,DF,DC,Nicolás Hernán Otamendi,7580,5.8475
4212,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,DF,DL,Nicolás Alejandro Tagliafico,7580,5.0725
4216,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,DF,DR,Gabriel Iván Mercado,7580,6.085
4219,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,FW,FW,Lionel Andrés Messi Cuccittini,7580,6.3774999999999995
4223,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,FW,FWL,Ángel Fabián Di María Hernández,7580,6.22
4226,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,FW,FWR,Cristian David Pavón,7580,5.705
4230,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,GK,GK,Franco Armani,7580,4.765000000000001
4232,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,MF,MC,Enzo Nicolás Pérez,7580,5.655
4235,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,MF,MC,Éver Maximiliano David Banega,7580,5.3525
4238,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,MF,MC,Javier Alejandro Mascherano,7580,5.585
4242,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,Sub,Sub,Federico Julián Fazio,7580,5.04
4243,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,Sub,Sub,Maximiliano Eduardo Meza,7580,6.305
4247,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",Argentina,Sub,Sub,Sergio Leonel Agüero del Castillo,7580,6.48
4250,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,DF,DC,Raphaël Varane,7580,5.359999999999999
4257,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,DF,DC,Samuel Yves Umtiti,7580,5.452500000000001
4263,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,DF,DL,Lucas Hernández Pi,7580,5.835
4270,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,DF,DR,Benjamin Pavard,7580,5.98
4276,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,FW,FW,Olivier Giroud,7580,6.0425
4283,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,GK,GK,Hugo Lloris,7580,5.1325
4289,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,MF,AMC,Antoine Griezmann,7580,6.0225
4296,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,MF,AML,Blaise Matuidi,7580,5.4475
4301,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,MF,AMR,Kylian Mbappé Lottin,7580,7.217499999999999
4308,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,MF,DMC,N''Golo Kanté,7580,5.7275
4315,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,MF,DMC,Paul Pogba,7580,6.01
4321,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,Sub,Sub,Corentin Tolisso,7580,5.955
4326,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,Sub,Sub,Florian Thauvin,7580,5.88
4327,World Cup 2018,2018-06-30,"France - Argentina, 4 - 3",France,Sub,Sub,Nabil Fekir,7580,5.785
4333,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,DF,DC,José Miguel da Rocha Fonte,7579,6.3225
4337,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,DF,DC,Kléper Laveran Lima Ferreira,7579,6.045
4341,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,DF,DL,Raphaël Adelino José Guerreiro,7579,6.7875
4345,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,DF,DR,Ricardo Domingos Barbosa Pereira,7579,5.6850000000000005
4346,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,FW,FW,Cristiano Ronaldo dos Santos Aveiro,7579,6.29
4350,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,FW,FW,Gonçalo Manuel Ganchinho Guedes,7579,5.95
4354,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,GK,GK,Rui Pedro dos Santos Patrício,7579,5.265
4358,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,MF,MC,William Silva de Carvalho,7579,6.1625
4362,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,MF,ML,Gelson Dany Batalha Martins,7579,5.8375
4366,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,Sub,Sub,André Miguel Valente Silva,7579,5.995
4368,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,Sub,Sub,Manuel Henrique Tavares Fernandes,7579,6.4
4369,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Portugal,Sub,Sub,Ricardo Andrade Quaresma Bernardo,7579,6.215
4372,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,DF,DC,Diego Roberto Godín Leal,7579,6.59
4377,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,DF,DC,José María Giménez de Vargas,7579,5.93
4381,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,DF,DL,Diego Sebastián Laxalt Suárez,7579,5.7524999999999995
4385,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,DF,DR,José Martín Cáceres Silva,7579,5.4425
4390,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,FW,FW,Edinson Roberto Cavani Gómez,7579,6.9025
4394,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,FW,FW,Luis Alberto Suárez Díaz,7579,6.3825
4399,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,GK,GK,Néstor Fernando Muslera Micol,7579,5.705
4404,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,MF,AMC,Rodrigo Bentancur Colmán,7579,5.965
4409,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,MF,DMC,Lucas Torreira Di Pascua,7579,5.81
4414,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,MF,MC,Matías Vecino Falero,7579,5.61
4419,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,MF,MC,Nahitan Michel Nández Acosta,7579,5.5024999999999995
4424,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,Sub,Sub,Carlos Andrés Sánchez Arcosa,7579,6.05
4427,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,Sub,Sub,Cristhian Ricardo Stuani Curbelo,7579,5.975
4429,World Cup 2018,2018-06-30,"Uruguay - Portugal, 2 - 1",Uruguay,Sub,Sub,Cristian Gabriel Rodríguez Barrotti,7579,6.21
4434,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,DF,DC,Dejan Lovren,7581,5.5525
4440,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,DF,DC,Domagoj Vida,7581,6.4275
4445,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,DF,DL,Ivan Strinić,7581,5.745
4450,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,DF,DR,Šime Vrsaljko,7581,5.4275
4455,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,FW,FW,Mario Mandžukić,7581,6.359999999999999
4460,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,GK,GK,Danijel Subašić,7581,5.96
4465,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,MF,DMC,Marcelo Brozović,7581,5.5975
4470,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,MF,MC,Ivan Rakitić,7581,6.4425
4476,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,MF,MC,Luka Modrić,7581,6.445
4482,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,MF,ML,Ivan Perišić,7581,5.65
4488,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,MF,MR,Ante Rebić,7581,6.205
4493,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,Sub,Sub,Andrej Kramarić,7581,6.34
4499,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,Sub,Sub,Josip Pivarić,7581,5.483333333333333
4502,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,Sub,Sub,Mateo Kovačić,7581,5.623333333333334
4506,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Croatia,Sub,Sub,Milan Badelj,7581,5.835
4508,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,DF,DC,Simon Thorup Kjær,7581,5.8175
4512,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,DF,DC,Thomas Delaney,7581,5.93
4514,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,DF,DL,Jonas Knudsen,7581,5.855
4515,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,DF,DR,Henrik Dalsgaard,7581,6.105
4519,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,FW,FW,Andreas Evald Cornelius,7581,5.6325
4522,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,GK,GK,Kasper Schmeichel,7581,6.8425
4526,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,MF,AMC,Christian Dannemann Eriksen,7581,5.7125
4530,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,MF,MC,Andreas Christensen,7581,5.74
4534,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,MF,MC,Thomas Delaney,7581,6.1975
4538,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,MF,ML,Martin Braithwaite Christensen,7581,5.5775
4542,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,MF,MR,Yussuf Yurary Poulsen,7581,6.4225
4545,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,Sub,Sub,Lasse Schöne,7581,5.113333333333333
4548,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,Sub,Sub,Michael Krohn-Dehli,7581,6.225
4549,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,Sub,Sub,Nicolai Jørgensen,7581,4.98
4552,World Cup 2018,2018-07-01,"Croatia - Denmark, 1 - 1",Denmark,Sub,Sub,Pione Sisto Ifolo Emirmija,7581,6.08
4556,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,DF,DC,Fedor Kudryashov,7582,5.58
4559,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,DF,DC,Ilya Kutepov,7582,6.1925
4563,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,DF,DC,Sergei Ignashevich,7582,6.0275
4567,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,FW,FW,Artem Dzyuba,7582,6.035
4571,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,GK,GK,Igor Akinfeev,7582,6.92
4575,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,AMC,Aleksandr Golovin,7582,6.175
4578,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,AMC,Aleksandr Samedov,7582,6.03
4582,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,DML,Yuri Zhirkov,7582,5.68
4585,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,DMR,Mário Figueira Fernandes,7582,5.965
4589,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,MC,Daler Kuzyaev,7582,5.825
4593,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,MF,MC,Roman Zobnin,7582,5.3149999999999995
4597,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,Sub,Sub,Aleksandr Erokhin,7582,5.95
4598,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,Sub,Sub,Denis Cheryshev,7582,5.336666666666666
4602,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Russia,Sub,Sub,Fyodor Smolov,7582,5.3
4606,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,DF,DC,Gerard Piqué Bernabéu,7582,6.0725
4610,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,DF,DC,Sergio Ramos García,7582,6.1899999999999995
4614,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,DF,DL,Jordi Alba Ramos,7582,6.35
4618,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,DF,DR,Rodrigo Moreno Machado,7582,5.81
4620,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,FW,FW,Diego da Silva Costa,7582,5.9
4624,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,GK,GK,David de Gea Quintana,7582,5.0925
4628,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,MF,AMC,David Josué Jiménez Silva,7582,5.65
4631,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,MF,AML,Lucas Vázquez Iglesias,7582,7.075
4635,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,MF,AMR,Marco Asensio Willemsen,7582,5.96
4638,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,MF,DMC,Sergio Ramos García,7582,6.4225
4641,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,MF,DMC,Sergio Busquets i Burgos,7582,5.9875
4645,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,Sub,Sub,Andrés Iniesta Luján,7582,5.33
4649,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,Sub,Sub,Daniel Carvajal Ramos,7582,5.246666666666667
4652,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,Sub,Sub,Iago Aspas Juncal,7582,5.326666666666667
4655,World Cup 2018,2018-07-01,"Spain - Russia, 1 - 1",Spain,Sub,Sub,Rodrigo Moreno Machado,7582,6.779999999999999
4658,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,DF,DC,Jan Vertonghen,7584,6.03
4664,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,DF,DC,Toby Alderweireld,7584,5.61
4670,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,DF,DC,Vincent Kompany,7584,6.07
4675,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,FW,FW,Romelu Lukaku Menama,7584,5.18
4681,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,GK,GK,Thibaut Courtois,7584,5.5325
4688,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,AMC,Dries Mertens,7584,6.13
4694,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,AMC,Eden Hazard,7584,6.655
4699,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,DML,Yannick Ferreira Carrasco,7584,5.105
4703,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,DMR,Thomas Meunier,7584,6.465
4708,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,MC,Axel Witsel,7584,6.09
4714,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,MF,MC,Kevin De Bruyne,7584,6.1225000000000005
4720,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,Sub,Sub,Marouane Fellaini-Bakkioui,7584,5.433333333333334
4725,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Belgium,Sub,Sub,Nacer Chadli,7584,5.766666666666667
4731,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,DF,DC,Gen Shōji,7584,5.8725000000000005
4734,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,DF,DC,Maya Yoshida,7584,6.2275
4738,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,DF,DL,Yuto Nagatomo,7584,5.8100000000000005
4742,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,DF,DR,Hiroki Sakai,7584,5.9625
4746,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,FW,FW,Yuto Nagatomo,7584,6.0975
4750,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,GK,GK,Eiji Kawashima,7584,6.234999999999999
4754,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,MF,AMC,Shinji Kagawa,7584,5.85
4757,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,MF,AML,Takashi Inui,7584,6.105
4761,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,MF,AMR,Genki Haraguchi,7584,6.1175
4764,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,MF,DMC,Gaku Shibasaki,7584,5.965
4768,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,MF,DMC,Makoto Hasebe,7584,6.0625
4772,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,Sub,Sub,Hotaru Yamaguchi,7584,5.96
4775,World Cup 2018,2018-07-02,"Belgium - Japan, 3 - 2",Japan,Sub,Sub,Keisuke Honda,7584,6.165
4778,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,DF,DC,João Miranda de Souza Filho,7583,5.955
4783,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,DF,DC,Thiago Emiliano da Silva,7583,6.0975
4788,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,DF,DL,Filipe Luís Kasmirski,7583,6.0375
4790,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,DF,DR,Fágner Conserva Lemos,7583,6.217499999999999
4794,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,FW,FW,Gabriel Fernando de Jesus,7583,6.01
4799,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,FW,FWL,Neymar da Silva Santos Junior,7583,6.285
4804,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,FW,FWR,Willian Borges da Silva,7583,7.1850000000000005
4809,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,GK,GK,Alisson Ramsés Becker,7583,5.765000000000001
4814,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,MF,MC,Carlos Henrique Casimiro,7583,6.24
4818,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,MF,MC,Philippe Coutinho Correia,7583,6.2175
4823,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,MF,MC,Philippe Coutinho Correia,7583,5.8100000000000005
4828,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,Sub,Sub,Fernando Luiz Rosa,7583,6.265000000000001
4833,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,Sub,Sub,Fernando Luiz Rosa,7583,6.0600000000000005
4834,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Brazil,Sub,Sub,Roberto Firmino Barbosa de Oliveira,7583,6.545
4838,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,DF,DC,Carlos Joel Salcedo Hernández,7583,5.885
4842,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,DF,DC,Hugo Ayala Castro,7583,5.8225
4844,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,DF,DL,Jesús Daniel Gallardo Vasconcelos,7583,6.1725
4848,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,DF,DR,Giovani dos Santos Ramírez,7583,5.77
4852,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,FW,FW,Hirving Rodrigo Lozano Bahena,7583,5.8425
4856,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,FW,FWL,Carlos Alberto Vela Garrido,7583,5.6025
4860,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,FW,FWR,Hirving Rodrigo Lozano Bahena,7583,5.885
4864,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,GK,GK,Francisco Guillermo Ochoa Magaña,7583,6.535
4868,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,MF,MC,José Andrés Guardado Hernández,7583,5.575
4872,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,MF,MC,Héctor Alfredo Moreno Herrera,7583,5.4275
4876,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,MF,MC,Rafael Márquez Álvarez,7583,5.72
4879,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,Sub,Sub,Jonathan dos Santos Ramírez,7583,5.406666666666666
4880,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,Sub,Sub,Miguel Arturo Layún Prado,7583,5.246666666666667
4884,World Cup 2018,2018-07-02,"Brazil - Mexico, 2 - 0",Mexico,Sub,Sub,Raúl Alonso Jiménez Rodríguez,7583,5.45
4886,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,DF,DC,Davinson Sánchez Mina,7585,5.9975000000000005
4890,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,DF,DC,Yerry Fernando Mina González,7585,6.505
4893,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,DF,DL,Johan Andrés Mojica Palacio,7585,5.6850000000000005
4897,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,DF,DR,Santiago Arias Naranjo,7585,5.885
4901,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,FW,FW,Juan Guillermo Cuadrado Bello,7585,6.88
4905,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,FW,FW,Radamel Falcao García Zárate,7585,5.8525
4909,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,GK,GK,David Ospina Ramírez,7585,5.155
4913,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,MF,AMC,Juan Fernando Quintero Paniagua,7585,5.7175
4917,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,MF,MC,Carlos Alberto Sánchez Moreno,7585,5.7175
4920,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,MF,MC,Jefferson Andrés Lerma Solís,7585,5.6975
4924,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,MF,MC,Wílmar Enrique Barrios Terán,7585,6.2675
4927,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,Sub,Sub,Carlos Arturo Bacca Ahumada,7585,5.69
4930,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,Sub,Sub,Cristian Eduardo Zapata Valencia,7585,6.0
4931,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,Sub,Sub,Luis Fernando Muriel Fruto,7585,5.593333333333334
4933,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",Colombia,Sub,Sub,Andrés Mateus Uribe Villa,7585,5.483333333333333
4936,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,DF,DC,Harry Maguire,7585,6.4475
4943,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,DF,DC,John Stones,7585,6.1925
4950,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,DF,DC,Kyle Walker,7585,5.9175
4955,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,FW,FW,Harry Kane,7585,6.9575
4961,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,FW,FW,Raheem Sterling,7585,5.8525
4967,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,GK,GK,Jordan Pickford,7585,5.96
4974,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,MF,DMC,Jordan Brian Henderson,7585,5.765
4979,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,MF,MC,Bamidele Alli,7585,5.625
4984,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,MF,MC,Jesse Lingard,7585,5.325
4990,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,MF,ML,Ashley Young,7585,6.075
4995,World Cup 2018,2018-07-03,"Colombia - England, 1 - 1",England,MF,MR,Kieran Trippier,7585,7.24
