,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
832,Right Defensive Midfield,9625,Glenn Whelan,Stoke City,30,3475,43.258426966292134,71.62921348314607,9.550561797752808,43.53932584269663,81.46067415730337,61.79775280898876,30.337078651685395,2.247191011235955,19.382022471910112,32.58426966292135,38.48314606741573
841,Left Defensive Midfield,9649,Jack Colback,Newcastle United,37,2636,53.37078651685393,19.662921348314608,55.33707865168539,48.59550561797753,59.55056179775281,19.662921348314608,75.28089887640449,72.75280898876404,45.78651685393258,39.60674157303371,32.02247191011236
854,Right Defensive Midfield,10956,Eric Dier,Tottenham Hotspur,38,3471,33.98876404494382,0.5617977528089888,17.415730337078653,41.29213483146067,65.73033707865169,73.03370786516854,19.101123595505616,24.719101123595504,70.50561797752809,56.17977528089888,10.674157303370785
863,Left Defensive Midfield,11386,Santiago Cazorla González,Arsenal,1,1402,6.741573033707865,94.9438202247191,2.247191011235955,100.0,85.95505617977528,97.75280898876404,47.752808988764045,9.550561797752808,19.382022471910112,96.34831460674157,100.0
872,Center Defensive Midfield,13846,Jan Kirchhoff,Sunderland,41,1322,94.9438202247191,73.03370786516854,33.146067415730336,67.97752808988764,2.8089887640449436,76.40449438202246,96.06741573033707,42.69662921348314,19.382022471910112,15.730337078651685,94.9438202247191
876,Right Defensive Midfield,16003,Fernando Francisco Reges,Manchester City,36,1589,94.10112359550563,46.06741573033708,82.02247191011236,14.887640449438203,94.66292134831461,3.3707865168539324,94.9438202247191,46.62921348314607,86.79775280898876,15.730337078651685,92.13483146067416
879,Left Defensive Midfield,16181,Jordy Clasie,Southampton,25,1885,56.46067415730337,4.213483146067416,59.55056179775281,33.98876404494382,41.57303370786517,33.146067415730336,44.662921348314605,8.707865168539326,19.382022471910112,15.730337078651685,77.52808988764045
886,Left Defensive Midfield,18414,Bastian Schweinsteiger,Manchester United,39,1212,6.741573033707865,75.28089887640449,35.95505617977528,51.40449438202247,78.37078651685393,97.19101123595506,63.76404494382022,44.9438202247191,70.50561797752809,15.730337078651685,9.550561797752808
995,Left Defensive Midfield,5255,Matías Vecino Falero,Fiorentina,239,2530,22.191011235955056,16.01123595505618,64.60674157303372,70.2247191011236,88.76404494382022,57.30337078651685,54.49438202247191,62.92134831460674,70.50561797752809,39.60674157303371,37.640449438202246
1002,Center Defensive Midfield,5510,Lucas Rodrigo Biglia,Lazio,236,2443,87.35955056179775,97.75280898876404,85.39325842696628,94.3820224719101,79.21348314606742,80.89887640449437,78.93258426966293,47.752808988764045,92.97752808988764,83.42696629213484,46.62921348314607
1006,Left Defensive Midfield,5554,Blerim Džemaili,Genoa,233,2053,9.831460674157304,14.04494382022472,54.49438202247191,82.58426966292134,39.8876404494382,20.786516853932586,23.03370786516854,27.247191011235955,90.1685393258427,73.59550561797754,4.49438202247191
1026,Right Defensive Midfield,6305,Milan Badelj,Fiorentina,239,2332,70.78651685393258,41.853932584269664,28.08988764044944,84.8314606741573,83.14606741573034,84.26966292134831,23.876404494382022,38.20224719101123,45.78651685393258,39.60674157303371,6.460674157303371
1030,Center Defensive Midfield,6577,Zdravko Kuzmanović,Udinese,230,1214,6.741573033707865,62.64044943820225,34.831460674157306,45.78651685393258,60.67415730337079,31.46067415730337,0.5617977528089888,82.58426966292134,19.382022471910112,15.730337078651685,89.60674157303372
1076,Center Defensive Midfield,6994,Marten de Roon,Atalanta,228,3279,78.08988764044943,28.08988764044944,99.43820224719101,38.764044943820224,29.213483146067414,54.49438202247191,94.3820224719101,83.14606741573034,39.8876404494382,32.58426966292135,75.84269662921348
1077,Right Defensive Midfield,6997,Borja Valero Iglesias,Fiorentina,239,3274,2.247191011235955,32.86516853932584,23.03370786516854,97.75280898876404,82.58426966292134,68.53932584269663,7.303370786516854,5.056179775280898,85.39325842696628,92.13483146067416,37.07865168539326
1093,Center Defensive Midfield,7024,Jorge Luiz Frello Filho,Napoli,227,2972,81.74157303370787,62.64044943820225,86.51685393258427,95.50561797752809,92.13483146067416,98.31460674157303,49.43820224719101,47.752808988764045,19.382022471910112,85.95505617977528,62.92134831460674
1107,Center Defensive Midfield,7041,Nicola Rigoni,Chievo,231,2049,24.43820224719101,52.24719101123596,53.37078651685393,21.06741573033708,47.19101123595505,64.8876404494382,46.348314606741575,29.213483146067414,90.1685393258427,49.43820224719101,35.1123595505618
1108,Center Defensive Midfield,7042,Ivan Radovanović,Chievo,231,2338,8.426966292134832,54.49438202247191,14.04494382022472,16.573033707865168,42.69662921348314,60.39325842696629,6.741573033707865,27.247191011235955,19.382022471910112,15.730337078651685,76.40449438202246
1115,Center Defensive Midfield,7051,Daniele De Rossi,AS Roma,229,2150,10.955056179775282,2.8089887640449436,0.5617977528089888,51.40449438202247,94.66292134831461,88.76404494382022,3.089887640449438,6.741573033707865,54.21348314606742,73.59550561797754,59.55056179775281
1130,Center Defensive Midfield,7127,Francesco Magnanelli,Sassuolo,232,3179,52.80898876404494,98.31460674157303,80.89887640449437,64.04494382022472,61.79775280898876,95.50561797752809,73.87640449438202,75.84269662921348,39.8876404494382,32.58426966292135,93.25842696629213
1138,Left Defensive Midfield,7147,Andrea Bertolacci,AC Milan,243,1969,20.224719101123593,75.28089887640449,77.52808988764045,71.91011235955057,55.0561797752809,42.13483146067416,72.19101123595506,61.51685393258427,54.21348314606742,49.43820224719101,56.74157303370787
1148,Center Defensive Midfield,7166,Riccardo Montolivo,AC Milan,243,2907,87.35955056179775,99.43820224719101,29.213483146067414,44.662921348314605,51.12359550561798,89.8876404494382,39.325842696629216,1.1235955056179776,19.382022471910112,39.60674157303371,83.70786516853933
1159,Right Defensive Midfield,7460,Isaac Cofie,Carpi,1683,2439,51.40449438202247,71.62921348314607,93.25842696629213,30.337078651685395,6.460674157303371,47.752808988764045,78.93258426966293,34.55056179775281,19.382022471910112,39.60674157303371,91.57303370786516
1171,Right Defensive Midfield,7475,Tomás Eduardo Rincón Hernández,Genoa,233,3085,35.95505617977528,91.01123595505618,39.8876404494382,80.33707865168539,76.40449438202246,51.96629213483146,37.359550561797754,76.40449438202246,77.24719101123596,94.10112359550563,66.01123595505618
1182,Right Defensive Midfield,7770,Federico Viviani,Hellas Verona,226,1595,86.23595505617978,93.25842696629213,67.97752808988764,99.43820224719101,27.52808988764045,96.06741573033707,83.98876404494382,58.98876404494382,96.06741573033707,98.87640449438202,55.89887640449438
1198,Right Defensive Midfield,7949,Artur Ioniţă,Hellas Verona,226,2528,44.10112359550562,20.786516853932586,98.87640449438202,56.46067415730337,40.44943820224719,0.5617977528089888,89.32584269662921,85.95505617977528,92.97752808988764,68.82022471910112,83.14606741573034
1222,Center Defensive Midfield,8284,Amadou Diawara,Bologna,240,2906,70.78651685393258,83.14606741573034,62.92134831460674,53.65168539325843,65.1685393258427,52.80898876404494,25.280898876404496,36.51685393258427,19.382022471910112,39.60674157303371,22.752808988764045
1224,Center Defensive Midfield,8294,Claudio Marchisio,Juventus,224,2143,66.01123595505618,79.7752808988764,8.98876404494382,70.2247191011236,89.32584269662921,79.21348314606742,39.8876404494382,20.224719101123593,19.382022471910112,73.59550561797754,67.13483146067416
1257,Right Defensive Midfield,9903,Yussif Raman Chibsah,Frosinone,291,1307,3.932584269662921,90.4494382022472,64.04494382022472,76.96629213483146,20.224719101123593,13.48314606741573,22.47191011235955,23.876404494382022,19.382022471910112,87.92134831460675,41.29213483146067
