,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
76,Goalkeeper,5570,Manuel Neuer,Bayern Munich,169,3113,2.1739130434782608,96.73913043478261,100.0,53.2608695652174,28.26086956521739,39.130434782608695,98.91304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41900959350333
77,Goalkeeper,8225,Roman Bürki,Borussia Dortmund,180,3039,9.782608695652174,34.78260869565217,83.15217391304348,29.347826086956523,28.26086956521739,41.30434782608695,93.47826086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.25110554195094
78,Goalkeeper,8240,Koen Casteels,Wolfsburg,179,1204,56.52173913043478,95.65217391304348,94.56521739130434,40.76086956521739,98.91304347826086,11.956521739130435,88.04347826086956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25566391947655
79,Goalkeeper,8306,Christian Mathenia,Darmstadt 98,872,3062,63.58695652173913,35.869565217391305,34.23913043478261,85.86956521739131,71.73913043478261,95.65217391304348,2.1739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.799264716945146
80,Goalkeeper,8314,Marwin Hitz,Augsburg,172,3059,94.56521739130434,63.04347826086957,60.32608695652174,59.2391304347826,60.32608695652174,69.02173913043478,70.65217391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.57110474469692
81,Goalkeeper,8393,Oliver Baumann,Hoffenheim,175,3070,100.0,84.78260869565217,50.0,61.95652173913043,28.26086956521739,75.0,66.30434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.36769242907906
82,Goalkeeper,8517,Ralf Fährmann,Schalke 04,181,3142,72.28260869565217,51.08695652173913,28.26086956521739,51.63043478260869,81.52173913043478,83.69565217391305,76.08695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.41601701081511
83,Goalkeeper,8560,René Adler,Hamburger SV,171,2229,76.08695652173914,64.13043478260869,45.108695652173914,77.17391304347827,28.26086956521739,51.08695652173913,21.73913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.257718486877856
84,Goalkeeper,8577,Rune Almenning Jarstein,Hertha Berlin,173,2588,63.58695652173913,53.2608695652174,57.065217391304344,46.19565217391305,28.26086956521739,46.73913043478261,61.95652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44489601391487
85,Goalkeeper,8667,Lukáš Hrádecký,Eintracht Frankfurt,184,3143,89.13043478260869,45.65217391304348,41.84782608695652,100.0,71.73913043478261,100.0,58.69565217391305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.24034019156917
86,Goalkeeper,8821,Timo Horn,FC Köln,186,3060,85.86956521739131,80.97826086956522,57.065217391304344,11.41304347826087,71.73913043478261,34.78260869565217,51.08695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.992029033976266
87,Goalkeeper,8947,Ron-Robert Zieler,Hannover 96,178,3138,98.91304347826086,48.91304347826087,24.456521739130434,89.13043478260869,28.26086956521739,92.3913043478261,78.26086956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.76291578131932
88,Goalkeeper,9082,Przemysław Tytoń,VfB Stuttgart,174,2770,95.65217391304348,32.608695652173914,15.760869565217392,33.15217391304348,71.73913043478261,27.173913043478258,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.67916617867515
89,Goalkeeper,12319,Ramazan Özcan,Ingolstadt,189,2593,8.695652173913043,26.08695652173913,64.67391304347827,95.65217391304348,28.26086956521739,76.08695652173914,9.782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3750690599704
